id,name,license,programming_language,homepage,source,documentation,funding,funder,paper_url,datetime_added,datetime_checked,datetime_updated,keywords,stars,forks,watchers,contributors,sponsors,last_commit_date,open_issues_count,releases_count,latest_release_date,readme_url,license_url,governance_url,contributing_url,code_of_conduct_url,security_policy_url,sbom_url,openssf_best_practices_url,openssf_best_practices_badge_level,openssf_scorecard_url,openssf_scorecard_score,openssf_scorecard_branch_protection,openssf_scorecard_code_review,openssf_scorecard_maintained,openssf_scorecard_vulnerabilities,development_status,software_heritage_id
opentitan,opentitan,Apache-2.0,SystemVerilog,https://www.opentitan.org,https://github.com/lowRISC/opentitan.git,,,,,2026-08-17 17:24,2026-08-17 17:24,2026-08-17 17:24,,3598,1087,109,279,,2026-08-17,2046,12,2026-06-02,https://github.com/lowRISC/opentitan/blob/master/README.md,https://github.com/lowRISC/opentitan/blob/master/LICENSE,,https://github.com/lowRISC/opentitan/blob/master/CONTRIBUTING.md,,https://github.com/lowRISC/opentitan/blob/master/SECURITY.md,https://api.github.com/repos/lowRISC/opentitan/dependency-graph/sbom,,,https://scorecard.dev/viewer/?uri=github.com/lowRISC/opentitan,4.9,5,10,10,,,
dynolog,dynolog,MIT,C++,,https://github.com/facebookincubator/dynolog.git,,,,,2026-08-17 17:24,2026-08-17 17:24,2026-08-17 17:24,,380,89,15,73,,2026-08-14,28,7,2025-05-13,https://github.com/facebookincubator/dynolog/blob/main/README.md,https://github.com/facebookincubator/dynolog/blob/main/LICENSE,,https://github.com/facebookincubator/dynolog/blob/main/CONTRIBUTING.md,https://github.com/facebookincubator/dynolog/blob/main/CODE_OF_CONDUCT.md,,https://api.github.com/repos/facebookincubator/dynolog/dependency-graph/sbom,,,,,,,,,,
omnistat,omnistat,MIT,Python,https://rocm.github.io/omnistat/,https://github.com/ROCm/omnistat.git,,,,,2026-08-17 17:24,2026-08-17 17:24,2026-08-17 17:24,energy; gpu; monitoring; telemetry,26,6,5,9,,2026-08-14,16,16,2026-08-13,https://github.com/ROCm/omnistat/blob/dev/README.md,https://github.com/ROCm/omnistat/blob/dev/LICENSE,,https://github.com/ROCm/omnistat/blob/dev/CONTRIBUTING.md,,,https://api.github.com/repos/ROCm/omnistat/dependency-graph/sbom,,,,,,,,,,
penglai-enclave,Penglai-Enclave-sPMP,MulanPSL-1.0,C,,https://github.com/Penglai-Enclave/Penglai-Enclave-sPMP.git,,,,,2026-08-17 17:24,2026-08-17 17:24,2026-08-17 17:24,enclave; risc-v; tee,148,33,7,9,,2025-03-05,2,3,2024-03-09,https://github.com/Penglai-Enclave/Penglai-Enclave-sPMP/blob/opensbi/README.md,,,,,,https://api.github.com/repos/Penglai-Enclave/Penglai-Enclave-sPMP/dependency-graph/sbom,,,,,,,,,,
sram-puf,software-based-PUF,GPL-3.0,C,,https://github.com/Tribler/software-based-PUF.git,,,,,2026-08-17 17:24,2026-08-17 17:24,2026-08-17 17:24,arduino; key-storage; multi-authentication; off-the-shelf-sram; puf; sram-puf,106,34,5,4,,2025-10-21,8,0,,https://github.com/Tribler/software-based-PUF/blob/master/README.md,https://github.com/Tribler/software-based-PUF/blob/master/LICENSE,,,,,,,,,,,,,,,
esp32-sram-puf,esp32-sram-puf-authentication,MIT,JavaScript,,https://github.com/xtncl/esp32-sram-puf-authentication.git,,,,,2026-08-17 17:24,2026-08-17 17:24,2026-08-17 17:24,authentication; esp32; iot-security; physical-unclonable-functions; research; rtc-memory; sram-puf,48,2,1,1,,2025-10-08,0,0,,https://github.com/xtncl/esp32-sram-puf-authentication/blob/main/README.md,https://github.com/xtncl/esp32-sram-puf-authentication/blob/main/LICENSE,,,,,,,,,,,,,,,
evidence-api,evidence-api,Apache-2.0,Python,,https://github.com/cc-api/evidence-api.git,,,,,2026-08-17 17:24,2026-08-17 17:24,2026-08-17 17:24,confidential-computing; trusted-computing,38,21,14,13,,2024-11-06,6,2,2024-04-08,https://github.com/cc-api/evidence-api/blob/main/README.md,https://github.com/cc-api/evidence-api/blob/main/LICENSE,,https://github.com/cc-api/evidence-api/blob/main/CONTRIBUTING.md,https://github.com/cc-api/evidence-api/blob/main/CODE_OF_CONDUCT.md,,https://api.github.com/repos/cc-api/evidence-api/dependency-graph/sbom,,,,,,,,,,
prolead,PROLEAD,BSD-3-Clause,C++,,https://github.com/ChairImpSec/PROLEAD.git,,,,,2026-08-17 17:24,2026-08-17 17:24,2026-08-17 17:24,armv6m; armv7m; fault-injection-analysis; fault-injection-attacks; hardware-simulation; masking; probing-security; random-fault-security; side-channel-analysis; side-channel-attacks; software-simulation,44,32,3,13,,2026-05-13,4,9,2025-02-25,https://github.com/ChairImpSec/PROLEAD/blob/main/README.md,https://github.com/ChairImpSec/PROLEAD/blob/main/LICENSE,,,,,,,,,,,,,,,
microwalk,Microwalk,MIT,C#,,https://github.com/microwalk-project/Microwalk.git,,,,,2026-08-17 17:24,2026-08-17 17:24,2026-08-17 17:24,crypto; dynamic-instrumentation; side-channel-attacks,86,10,5,3,,2025-11-15,2,12,2023-05-11,https://github.com/microwalk-project/Microwalk/blob/master/README.md,https://github.com/microwalk-project/Microwalk/blob/master/LICENSE,,,,,https://api.github.com/repos/microwalk-project/Microwalk/dependency-graph/sbom,,,,,,,,,,
rainbow-sca,rainbow,LGPL-3.0,Python,,https://github.com/Ledger-Donjon/rainbow.git,,,,,2026-08-17 17:24,2026-08-17 17:24,2026-08-17 17:24,fault-injection; side-channel-attacks,200,37,7,8,,2026-04-02,10,1,2024-05-27,https://github.com/Ledger-Donjon/rainbow/blob/master/README.md,https://github.com/Ledger-Donjon/rainbow/blob/master/LICENSE,,,,,https://api.github.com/repos/Ledger-Donjon/rainbow/dependency-graph/sbom,,,,,,,,,,
