id,tool_type,name,summary,license,homepage,source,documentation,funding,implement,eval
adversarial-robustness-toolbox,software,Adversarial Robustness Toolbox,"ART provides tools that enable developers and researchers to evaluate, defend, certify and verify Machine Learning models and applications against the adversarial threats of Evasion, Poisoning, Extraction, and Inference.",MIT,https://adversarial-robustness-toolbox.readthedocs.io/en/latest/,https://github.com/trusted-ai/adversarial-robustness-toolbox,,,rgaf-safe,rgaf-safe; rgaf-secure
aequitas,software,Aequitas,Bias Auditing & Fair ML Toolkit,MIT,https://datasciencepublicpolicy.org/our-work/tools-guides/aequitas/,https://github.com/dssg/aequitas,,,,rgaf-accessible; rgaf-fair
ai-explainability-360,software,AI Explainability 360,,Apache-2.0,https://ai-explainability-360.org/,,,,rgaf-transparent,rgaf-transparent
aif360,software,AI Fairness 360,,Apache-2.0,https://github.com/Trusted-AI/AIF360,,,,rgaf-fair,rgaf-fair
aisev,software,AI Safety Evaluation Environment,,Apache-2.0,https://github.com/Japan-AISI/aisev,,,,,"rgaf-human-centred; rgaf-accessible; rgaf-safe; rgaf-transparent; rgaf-secure; rgaf-compliant; rgaf-fair"
pku-beaver,software,Beaver,,Apache-2.0,https://pku-beaver.github.io/,,,,rgaf-human-centred; rgaf-safe,
circuit-breakers,software,Circuit Breakers,,MIT,https://github.com/GraySwanAI/circuit-breakers,,,,rgaf-human-centred; rgaf-safe,
codecarbon,software,CodeCarbon,,MIT,https://mlco2.github.io/codecarbon/,,,,,rgaf-sustainable
compl-ai,software,COMPL-AI,,Apache-2.0,https://compl-ai.org/,,,,,"rgaf-human-centred; rgaf-safe; rgaf-transparent; rgaf-secure; rgaf-fair"
decodingtrust,software,DecodingTrust,,CC-BY-4.0,https://decodingtrust.github.io/,,,,,"rgaf-human-centred; rgaf-safe; rgaf-secure; rgaf-fair"
data-prep-kit,software,Data Prep Kit,,Apache-2.0,https://github.com/data-prep-kit/data-prep-kit,,,,"rgaf-accessible; rgaf-secure; rgaf-fair","rgaf-accessible; rgaf-secure; rgaf-fair"
evidently,software,Evidently,,Apache-2.0,https://github.com/evidentlyai/evidently,,,,rgaf-transparent; rgaf-accountable,
fairlearn,software,Fairlearn,,MIT,https://github.com/fairlearn/fairlearn,,,,rgaf-fair,rgaf-accessible; rgaf-fair
garak,software,Garak,,Apache-2.0,https://github.com/NVIDIA/garak,,,,,rgaf-safe; rgaf-secure
guardrailsai,software,Guardrails AI,,Apache-2.0,https://www.guardrailsai.com/,,,,rgaf-safe; rgaf-secure,
heartbench,software,HeartBench,,Apache-2.0,https://github.com/inclusionAI/HeartBench,,,,,rgaf-human-centred
inspect,software,Inspect AI,,MIT,https://inspect.aisi.org.uk/,,,,,rgaf-human-centred; rgaf-secure; rgaf-fair
pair-code-lit,software,Learning Interpretability Tool,,Apache-2.0,https://pair-code.github.io/lit/,,,,,rgaf-safe; rgaf-transparent; rgaf-fair
memalign,software,MLflow MemAlign,,Apache-2.0,https://mlflow.org/blog/memalign,,,,rgaf-human-centred,
mct-model-optimization,software,Model Compression Toolkit,,Apache-2.0,https://sonysemiconductorsolutions.github.io/mct-model-optimization/,,,,,rgaf-sustainable
mot,software,Model Openness Tool,,MIT,https://mot.isitopen.ai/,,,,rgaf-transparent,rgaf-transparent
nemo-guardrails,software,NeMo Guardrails,,Apache-2.0,https://docs.nvidia.com/nemo/guardrails/,,,,rgaf-safe; rgaf-secure,
neural-compressor,software,Neural Compressor,,Apache-2.0,https://intel.github.io/neural-compressor/,,,,,rgaf-sustainable
presidio,software,Presdidio,,MIT,https://microsoft.github.io/presidio/,,,,rgaf-secure,
ml-privacy-meter,software,Privacy Meter,,MIT,https://github.com/privacytrustlab/ml_privacy_meter,,,,,rgaf-secure
project-moonshot,software,Project Moonshot,,Apache-2.0,https://aiverifyfoundation.sg/project-moonshot/,,,,,"rgaf-human-centred; rgaf-accessible; rgaf-safe; rgaf-transparent; rgaf-secure; rgaf-fair"
vgel-repeng,software,repeng,,MIT,https://github.com/vgel/repeng,,,,rgaf-transparent,
repe,software,Representation Engineering (RepE),,MIT,https://www.ai-transparency.org/,https://github.com/andyzoujm/representation-engineering,,,rgaf-transparent,
amazon-sagemaker-clarify,software,SageMaker Clarify,,Apache-2.0,https://github.com/aws/amazon-sagemaker-clarify,,,,,rgaf-transparent; rgaf-fair
trustyai,software,TrustyAI,,Apache-2.0,https://trustyai.org/,,,,"rgaf-human-centred; rgaf-accessible; rgaf-safe; rgaf-transparent; rgaf-accountable; rgaf-secure; rgaf-compliant","rgaf-human-centred; rgaf-accessible; rgaf-safe; rgaf-transparent; rgaf-accountable; rgaf-secure; rgaf-compliant; rgaf-fair"
trustllm,software,TrustLLM,,MIT,https://trustllmbenchmark.github.io/TrustLLM-Website/,,,,,"rgaf-human-centred; rgaf-accessible; rgaf-safe; rgaf-transparent; rgaf-compliant"
what-if-tool,software,What-If Tool,"Visually probe the behavior of trained machine learning models, with minimal coding.",Apache-2.0,https://pair-code.github.io/what-if-tool,https://github.com/PAIR-code/what-if-tool,,,,rgaf-accessible; rgaf-transparent; rgaf-fair
